id;nama_wisata;kabupaten;kategori_asli;kategori;htm_label;htm_min;htm_max;longitude;latitude;rating;deskripsi_singkat;image;image_status;google_maps_url
pantai-baros;Pantai Baros;Bantul;Pantai;Pantai;Belum tersedia;;;110.2831053;-8.007811291;4.4;Destinasi wisata alam pesisir yang menawarkan perpaduan luar biasa antara pesona laut selatan dengan kawasan sabuk hijau yang rimbun dan edukatif. Pantai ini sangat ikonik karena kawasannya terintegrasi langsung dengan Hutan Mangrove Baros yang tumbuh subur di muara Sungai Opak, menjadikannya satu-satunya ekosistem hutan bakau yang ada di pesisir Kabupaten Bantul. Wisatawan dapat menyusuri jembatan kayu yang estetik di sela-sela rimbunnya pohon mangrove, mengamati berbagai jenis burung rawa yang hidup bebas, hingga menikmati hamparan rumput sabana hijau yang luas. Suasananya yang sejuk, asri, dan tenang menjadikannya tempat favorit untuk piknik, berburu foto bertema alam (nature photography), berkemah (camping), serta menikmati matahari terbenam yang syahdu di balik rimbunnya tanaman bakau.;;missing;https://www.google.com/maps?q=-8.007811291,110.2831053
pantai-baru;Pantai Baru;Bantul;Pantai;Pantai;Rp 10.000 – Rp 15.000;10000;15000;110.2210096;;4.4;Destinasi wisata pantai yang menawarkan perpaduan antara pesona ombak laut selatan yang megah dengan hamparan hutan cemara udang yang rimbun dan teduh di sepanjang bibir pantai. Tempat ini sangat ikonik karena lokasinya yang bersebelahan dengan deretan kincir angin pembangkit listrik dan memiliki suasana yang relatif lebih tenang, menjadikannya lokasi favorit untuk menggelar tikar piknik keluarga di bawah rindangnya pepohonan. Selain menyuguhkan panorama matahari terbenam (sunset) yang romantis, pantai ini juga terkenal dengan wisata kuliner lautnya yang segar di warung-warung makan lokal serta keberadaan patung harimau loreng ikonik yang menyambut wisatawan di area pintu masuk.;;missing;
pantai-cangkring;Pantai Cangkring;Bantul;Pantai;Pantai;Rp 5.000 – Rp 10.000;5000;10000;110.2391888;-7.994550061;4.6;"Destinasi wisata pesisir yang menawarkan pesona ""pantai tersembunyi"" (hidden gem) yang masih sangat alami, asri, dan jauh dari hiruk-pikuk keramaian. Pantai ini sangat ikonik karena akses jalannya yang membelah area perkebunan warga lokal serta sabana hijau, yang kemudian disambut oleh lorong hijau nan teduh dari rindangnya pohon cemara udang. Karena belum banyak tersentuh komersialisasi besar, pantai ini menyuguhkan hamparan pasir luas yang bersih dan suasana yang sangat tenang dan privat, menjadikannya lokasi favorit untuk berkemah (camping), berburu foto estetik yang minimalis, atau sekadar menikmati angin laut dan momen matahari terbenam yang syahdu dalam ketenangan.";;missing;https://www.google.com/maps?q=-7.994550061,110.2391888
pantai-dewaruci-bantul;Pantai Dewaruci Bantul;Bantul;Pantai;Pantai;Rp 10.000 – Rp 15.000;10000;15000;110.2584118;-8.002450008;4.3;Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut. Pantai ini sangat ikonik dan berbeda dari pantai lainnya di Yogyakarta karena keberadaan sebuah Mercusuar (Menara Suar) Kalajengking setinggi sekitar 40 meter yang berdiri kokoh di tepi pantai. Wisatawan dapat menaiki ratusan anak tangga mercusuar ini hingga ke puncak untuk menikmati pemandangan spektakuler garis pantai Bantul, hamparan hijau hutan cemara udang, serta laut lepas dari ketinggian. Selain mercusuar, pantai ini juga memiliki kawasan agrowisata buah naga yang subur dan suasana teduh di bawah rimbunnya pepohonan, menjadikannya tempat favorit untuk berburu foto estetis dan menikmati matahari terbenam.;;missing;https://www.google.com/maps?q=-8.002450008,110.2584118
pantai-kuwaru;Pantai Kuwaru;Bantul;Pantai;Pantai;Rp 5.000 – Rp 10.000;5000;10000;110.2264097;-7.990070357;4.1;"Destinasi wisata pantai (yang sering dikenal oleh wisatawan dengan nama Pantai Kuwaru) yang menawarkan daya tarik utama berupa ""payung hidup""—sebutan untuk kanopi alami dari barisan pohon cemara udang yang tumbuh sangat rapat dan rimbun di sepanjang pesisir. Keunikan ini menciptakan suasana yang sangat teduh, sejuk, dan asri, bahkan di siang hari yang terik. Pantai ini menjadi lokasi yang sangat ideal untuk rekreasi keluarga karena memiliki area bermain anak yang dilengkapi kolam renang mini, jalur offroad teduh yang seru untuk dijelajahi menggunakan ATV sewaan, serta deretan warung kuliner laut yang menyajikan olahan ikan segar langsung di bawah rindangnya pepohonan sembari menunggu momen matahari terbenam.";;missing;https://www.google.com/maps?q=-7.990070357,110.2264097
pantai-pandansari;Pantai Pandansari;Bantul;Pantai;Pantai;Rp 15.000;15000;15000;110.2537653;-7.999754601;4.3;Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut. Pantai ini sangat ikonik dan berbeda dari pantai lainnya di Yogyakarta karena keberadaan sebuah Mercusuar (Menara Suar) Kalajengking setinggi sekitar 40 meter yang berdiri kokoh di tepi pantai. Wisatawan dapat menaiki ratusan anak tangga mercusuar ini hingga ke puncak untuk menikmati pemandangan spektakuler garis pantai Bantul, hamparan hijau hutan cemara udang, serta laut lepas dari ketinggian. Selain mercusuar, pantai ini juga memiliki kawasan agrowisata buah naga yang subur dan suasana teduh di bawah rimbunnya pepohonan, menjadikannya tempat favorit untuk berburu foto estetis dan menikmati matahari terbenam.;;missing;https://www.google.com/maps?q=-7.999754601,110.2537653
pantai-pandansimo;Pantai Pandansimo;Bantul;Pantai;Pantai;Rp 10.000 – Rp 15.000;10000;15000;110.2177817;-7.987857254;4.3;Destinasi wisata pantai yang menawarkan perpaduan unik antara pesona pesisir selatan yang eksotis dengan deretan pohon cemara udang yang rimbun dan asri. Pantai ini sangat ikonik karena kawasannya terintegrasi dengan kincir angin pembangkit listrik (PLTB) serta perkampungan nelayan yang khas, memberikan suasana berbeda dari pantai-pantai lainnya di Yogyakarta. Tempat ini menjadi spot favorit untuk menikmati momen matahari terbenam (sunset) yang syahdu, berburu kuliner laut segar langsung dari pasar ikan, atau sekadar bersantai di bawah teduhnya pepohonan.;;missing;https://www.google.com/maps?q=-7.987857254,110.2177817
pantai-patihan;Pantai Patihan;Bantul;Pantai;Pantai;Rp 5.000 – Rp 10.000;5000;10000;110.2449971;-7.997586759;4.4;Destinasi wisata pesisir yang menawarkan pesona perpaduan antara wisata alam yang asri dengan konsep agrowisata yang produktif. Pantai ini sangat ikonik karena tidak hanya menyuguhkan hamparan pasir pantai yang luas dan rimbunnya hutan cemara udang sebagai tempat berteduh, tetapi juga terkenal dengan kawasan perkebunan buah naga dan lahan pertanian pesisir milik warga lokal di sekitarnya. Suasananya yang relatif tenang, bersih, dan belum terlalu padat oleh wisatawan menjadikannya lokasi yang sangat nyaman untuk piknik keluarga, menikmati angin laut yang sejuk, serta berburu pemandangan matahari terbenam (sunset) yang indah langsung dari bibir pantai.;;missing;https://www.google.com/maps?q=-7.997586759,110.2449971
pantai-pelangi;Pantai Pelangi;Bantul;Pantai;Pantai;Rp 5.000 – Rp 10.000;5000;10000;110.308241;-8.017123241;4.4;Pantai pemekaran dari kawasan Parangtritis di Desa Parangtritis, Kecamatan Kretek, Bantul. Berpasir hitam dengan ombak besar khas laut selatan. Memiliki daya tarik unik berupa konservasi penyu lekang, wisatawan bisa ikut kegiatan pelepasan tukik ke laut;;missing;https://www.google.com/maps?q=-8.017123241,110.308241
pantai-samas;Pantai Samas;Bantul;Pantai;Pantai;Belum tersedia;;;110.2652461;-8.005209741;4.3;Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut. Pantai ini sangat ikonik dan berbeda dari pantai lainnya di Yogyakarta karena keberadaan sebuah Mercusuar (Menara Suar) Kalajengking setinggi sekitar 40 meter yang berdiri kokoh di tepi pantai. Wisatawan dapat menaiki ratusan anak tangga mercusuar ini hingga ke puncak untuk menikmati pemandangan spektakuler garis pantai Bantul, hamparan hijau hutan cemara udang, serta laut lepas dari ketinggian. Selain mercusuar, pantai ini juga memiliki kawasan agrowisata buah naga yang subur dan suasana teduh di bawah rimbunnya pepohonan, menjadikannya tempat favorit untuk berburu foto estetis dan menikmati matahari terbenam.;;missing;https://www.google.com/maps?q=-8.005209741,110.2652461
pantai-tanggul-tirto;Pantai Tanggul Tirto;Bantul;Pantai;Pantai;Rp 5.000 – Rp 10.000;5000;10000;110.2298083;-7.991153906;4.7;Destinasi wisata pesisir tersembunyi yang menawarkan perpaduan unik antara muara sungai (laguna) yang tenang dengan pemandangan terbuka ke arah Samudra Hindia. Pantai ini sangat ikonik karena keberadaan tanggul beton pemecah ombak (breakwater) yang kokoh menjorok ke laut, yang berfungsi menahan hantaman ombak besar khas laut selatan sekaligus menciptakan lanskap yang sangat estetik untuk berfoto. Suasananya yang relatif lebih tenang dan belum sepadat pantai-pantai utama di Bantul menjadikannya tempat favorit bagi para pencinta ketenangan untuk menikmati angin laut, memancing di area muara, atau berburu momen matahari terbenam (sunset) yang dramatis di balik struktur tanggul.;;missing;https://www.google.com/maps?q=-7.991153906,110.2298083
parangkusumo;Parangkusumo;Bantul;Pantai;Pantai;Rp 10.000;10000;10000;110.3080459;-8.018234034;4.5;Destinasi wisata pesisir keramat yang menawarkan perpaduan mendalam antara pesona alam laut selatan dengan pusat spiritualitas dan sejarah Kesultanan Yogyakarta. Pantai ini sangat ikonik dan disakralkan karena keberadaan Situs Cepuri, sebuah area berpagar batu yang menyimpan dua batu gembolan tempat pertemuan sakral antara Danang Sutawijaya (Panembahan Senopati, pendiri Kerajaan Mataram Islam) dengan Penguasa Laut Selatan, Kanjeng Ratu Kidul. Selain menjadi pusat ritual adat yang kental seperti upacara Labuhan, pantai dengan hamparan pasir hitam yang luas ini juga menyuguhkan atmosfer magis yang syahdu, menjadikannya lokasi favorit untuk merenung, berziarah, sekaligus menikmati hembusan angin laut dan panorama matahari terbenam (sunset) yang dramatis.;;missing;https://www.google.com/maps?q=-8.018234034,110.3080459
parangtritis;Parangtritis;Bantul;Pantai;Pantai;Rp 15.000;15000;15000;110.3282397;-8.023184611;4.6;Tempat ini menjadi spot favorit bagi para pencinta petualangan, pasangan, maupun fotografer yang ingin berburu foto-foto estetik nan anti-mainstream langsung dari atas air, terutama saat siluet pepohonan mangrove berpadu dengan langit sore.;;missing;https://www.google.com/maps?q=-8.023184611,110.3282397
pesona-pengklik-pantai-samas;Pesona Pengklik-Pantai Samas;Bantul;Pantai;Pantai;Rp 7.000 – Rp 10.000;7000;10000;110.2707618;-8.003448421;4.1;Destinasi wisata alam yang menawarkan perpaduan eksotis antara ketenangan muara sungai (laguna) yang luas dengan panorama pesisir selatan yang memukau. Kawasan yang dikenal sebagai Pesona Pengklik ini merupakan bagian dari pengembangan wisata Pantai Samas yang sangat ikonik karena dilengkapi dengan fasilitas jembatan kayu dan dermaga pandang yang menjorok ke air, memungkinkan wisatawan berjalan di atas laguna sembari menikmati pemandangan perahu-perahu nelayan yang bersandar. Tempat ini menjadi spot favorit untuk berburu foto berlatar belakang hamparan air yang tenang, menikmati kuliner apung, serta menyaksikan panorama matahari terbenam (sunset) yang romantis dan teduh tanpa harus terganggu oleh deburan ombak besar laut selatan.;;missing;https://www.google.com/maps?q=-8.003448421,110.2707618
air-terjun-kedung-kandang;Air Terjun Kedung Kandang;Gunung Kidul;Air Terjun;Air Terjun;Rp 10.000;10000;10000;110.5354268;-7.851139901;4.0;Alam berupa air terjun musiman dengan undakan tebing vulkanik yang terletak di Desa Nglanggeran, Patuk, Gunungkidul, Yogyakarta.;assets/img/Air-Terjun_Kedung_Kandang.png;matched;https://www.google.com/maps?q=-7.851139901,110.5354268
air-terjun-luweng-sampang;Air Terjun Luweng Sampang;Gunung Kidul;Air Terjun;Air Terjun;Rp 2.000;2000;2000;110.5727099;-7.808784354;4.0;Air Terjun Luweng Sampang merupakan air terjun yang berada di daerah berkapur Kabupaten Gunung Kidul. Mempunyai keunikan berupa tebing yang terkikis karena proses perubahan alam. Warna air pada kolam air terjun ini bisa berubah warna.;;missing;https://www.google.com/maps?q=-7.808784354,110.5727099
air-terjun-sri-gethuk;Air Terjun Sri Gethuk;Gunung Kidul;Air Terjun;Air Terjun;Rp 15.000;15000;15000;110.4891971;-7.942921198;4.4;Air terjun alami yang indah di tengah hutan dan tebing kapur ini merupakan tempat populer untuk berenang.;assets/img/Air-Terjun-Sri-Gethuk.png;matched;https://www.google.com/maps?q=-7.942921198,110.4891971
wisata-alam-curug-gedhe;Wisata Alam Curug Gedhe;Gunung Kidul;Air Terjun;Air Terjun;Rp 10.000;10000;10000;110.5365097;-7.824134463;4.1;Wisata Alam Curug Gedhe adalah destinasi air terjun tersembunyi setinggi 25-30 meter dengan kolam alami sedalam 2-3 meter.;;missing;https://www.google.com/maps?q=-7.824134463,110.5365097
bukit-bintang;Bukit Bintang;Gunung Kidul;Bukit;Bukit;Rp 5.000;5000;5000;110.4797641;-7.845696147;4.5;Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang.;assets/img/Bukit-Bintang.png;matched;https://www.google.com/maps?q=-7.845696147,110.4797641
bukit-kosakora;Bukit Kosakora;Gunung Kidul;Bukit;Bukit;Rp 5.000;5000;5000;110.5841216;-8.140903378;4.6;Tanjung pesisir dan tempat matahari terbenam populer yang menawarkan kemah pedesaan, jalan setapak dan panorama.;assets/img/Bukit_Kosakora.png;matched;https://www.google.com/maps?q=-8.140903378,110.5841216
bukit-paralayang-watugupit;Bukit Paralayang Watugupit;Gunung Kidul;Bukit;Bukit;Rp 10.000;10000;10000;110.345998;-8.026600123;4.7;Tempat observasi di puncak bukit yang menghadap Samudera Hindia dan pantai dan titik lepas landas paralayang.;assets/img/Bukit-Paralayang-Watugupit.png;matched;https://www.google.com/maps?q=-8.026600123,110.345998
bukit-teletubbies;Bukit Teletubbies;Gunung Kidul;Bukit;Bukit;Rp 5.000;5000;5000;110.5557599;-8.041448829;4.2;Tempat ini menawarkan pemandangan ladang jagung menawan yang menyerupai latar tempat tinggal tokoh kartun Teletubbies, menjadikannya spot foto instagramable yang populer.;assets/img/Bukit_Teletubbies.png;matched;https://www.google.com/maps?q=-8.041448829,110.5557599
gunung-api-purba-nglanggeran;Gunung Api Purba Nglanggeran;Gunung Kidul;Bukit;Bukit;Rp 15.000;15000;15000;110.5378347;-7.842233463;4.6;Gunung ini merupakan sebuah gunung api purba yang terbentuk sekitar 60-70 juta tahun yang lalu atau yang memiliki umur tersier (Oligo-Miosen).;assets/img/Gunung-Api-Purba_Nglanggeran.jpeg;matched;https://www.google.com/maps?q=-7.842233463,110.5378347
gunung-gambar;Gunung Gambar;Gunung Kidul;Gunung;Bukit;Rp 3.000;3000;3000;110.6715317;-7.820974061;4.5;Gunung Gambar berjarak sekitar 50 km dari pusat Kota Yogyakarta. Berada di ketinggian 650 mdpl, tempat ini sebenarnya lebih berupa bukit berbatu yang menawarkan pesona alam serta dikenal sebagai petilasan bersejarah;;missing;https://www.google.com/maps?q=-7.820974061,110.6715317
gunung-gentong;Gunung Gentong;Gunung Kidul;Bukit;Bukit;Gratis;0;0;110.5770496;-7.848820626;4.3;"Bukit wisata alam di Desa Ngalang, Gedangsari, Gunungkidul, Yogyakarta, yang terkenal dengan pemandangan ""negeri di atas awan"", hamparan perbukitan hijau.";assets/img/Gunung-Gentong.png;matched;https://www.google.com/maps?q=-7.848820626,110.5770496
gunung-ireng;Gunung Ireng;Gunung Kidul;Gunung;Bukit;Rp 5.000;5000;5000;110.4891135;-7.88163975;4.6;Gunung dengan puncak yang diakses melalui jalan darat & jalan setapak pendek, terkenal dengan matahari terbit.;;missing;https://www.google.com/maps?q=-7.88163975,110.4891135
puncak-tugu-batara-sriten;Puncak Tugu Batara Sriten;Gunung Kidul;Bukit;Bukit;Rp 5.000;5000;5000;110.6339868;-7.830731101;4.6;Lokasi ini terkenal dengan embung buatan (telaga) tertinggi di DIY, pemandangan matahari terbit/terbenam, serta menjadi landasan olahraga paralayang.;assets/img/Puncak-Tugu-Batara-Sriten.png;matched;https://www.google.com/maps?q=-7.830731101,110.6339868
goa-gelatik-lorong-sewu;Goa Gelatik Lorong Sewu;Gunung Kidul;Goa;Goa;Rp 30.000;30000;30000;110.6482147;-7.926701613;4.5;Goa ini terkenal dengan lorongnya yang ekstrem, gelap, memiliki banyak percabangan (lorong sewu), serta keindahan stalaktit dan stalakmit yang masih alami.;assets/img/Goa-Gelatik-Lorong-Sewu.png;matched;https://www.google.com/maps?q=-7.926701613,110.6482147
goa-jomblang;Goa Jomblang;Gunung Kidul;Goa;Goa;Rp 500.000;500000;500000;110.6382523;-8.028507389;4.6;Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.;assets/img/Goa-Jomblang.png;matched;https://www.google.com/maps?q=-8.028507389,110.6382523
goa-ngingrong;Goa Ngingrong;Gunung Kidul;Goa;Goa;Rp 5.000;5000;5000;110.590491;-8.027803903;4.5;Karst berbentuk lembah sinkhole (luweng) yang menawarkan petualangan susur gua, rappelling setinggi 80 meter, flying fox, dan ATV.;assets/img/Goa-Ngingrong.jpg;matched;https://www.google.com/maps?q=-8.027803903,110.590491
goa-pindul;Goa Pindul;Gunung Kidul;Goa;Goa;Rp 10.000;10000;10000;110.6496325;-7.930175191;4.5;Goa Pindul adalah gua yang eksotik dengan aliran sungai bawah tanah di Gunungkidul.;assets/img/Goa-Pindul.png;matched;https://www.google.com/maps?q=-7.930175191,110.6496325
goa-tanding;Goa Tanding;Gunung Kidul;Goa;Goa;Rp 150.000;150000;150000;110.6494371;-7.932483552;4.6;Gua yang terkenal dengan formasi bebatuan yang memukau, dengan wahana arung jeram di sungai bawah tanah.;assets/img/Goa-Tanding.png;matched;https://www.google.com/maps?q=-7.932483552,110.6494371
kalisuci-cave-tubing;Kalisuci Cave Tubing;Gunung Kidul;Goa;Goa;Rp 120.000;120000;120000;110.6393525;-8.00898228;4.6;Petualangan menyusuri sungai bawah tanah di dalam gua menggunakan ban pelampung.;assets/img/Kalisuci-Cave-Tubing.png;matched;https://www.google.com/maps?q=-8.00898228,110.6393525
geoforest-watu-payung-turunan;Geoforest Watu Payung Turunan;Gunung Kidul;Lainnya;Lainnya;Rp 5.000;5000;5000;110.4363999;-7.974046873;4.5;Anjungan observasi, dengan bangku berukir, menghadap lanskap perbukitan yang sering berkabut.;;missing;https://www.google.com/maps?q=-7.974046873,110.4363999
kawasan-glamping-kedung-kandang;Kawasan Glamping Kedung Kandang;Gunung Kidul;Lainnya;Lainnya;Rp 35.000;35000;35000;110.5354751;-7.851224935;4.0;Glamping Kedung Kandang adalah destinasi berkemah mewah yang terletak di kawasan Desa Wisata Nglanggeran, Kabupaten Gunungkidul, Yogyakarta.;;missing;https://www.google.com/maps?q=-7.851224935,110.5354751
pantai-baron-indah;Pantai Baron Indah;Gunung Kidul;Pantai;Pantai;Rp 15.000;15000;15000;110.5479953;-8.1284319;4.2;Pantai ikonik dengan teluk, aktivitas nelayan, kuliner seafood, dan pertemuan aliran sungai menuju laut.;assets/img/pantai-baron-indah.png;matched;https://www.google.com/maps?q=-8.1284319,110.5479953
pantai-drini;Pantai Drini;Gunung Kidul;Pantai;Pantai;Rp 15.000;15000;15000;110.5774122;-8.1380747;4.5;Pantai berpasir putih dengan pulau karang kecil, cocok untuk bermain air, berfoto, dan menikmati suasana pesisir Gunung Kidul.;assets/img/pantai-drini.jpg;matched;https://www.google.com/maps?q=-8.1380747,110.5774122
